WMU,Year,Active Hunters,Harvest
33,2017,15,0
33,2018,23,4
33,2019,29,0
33,2020,27,0
33,2021,30,1
33,2022,21,1
33,2023,41,5
34,2012,6,0
34,2013,9,0
34,2014,12,0
34,2015,9,2
34,2016,15,0
34,2017,9,0
34,2018,6,0
34,2019,13,0
34,2020,20,1
34,2021,23,0
34,2022,22,1
34,2023,21,0
35,2012,62,3
35,2013,42,2
35,2014,45,0
35,2015,39,2
35,2016,41,4
35,2017,36,5
35,2018,36,2
35,2019,30,3
35,2020,51,0
35,2021,43,0
35,2022,67,1
35,2023,70,0
36,2012,99,5
36,2013,90,10
36,2014,103,13
36,2015,95,10
36,2016,134,11
36,2017,76,5
36,2018,86,5
36,2019,110,7
36,2020,135,7
36,2021,143,6
36,2022,133,2
36,2023,144,2
37,2012,52,5
37,2013,74,3
37,2014,64,2
37,2015,52,0
37,2016,58,5
37,2017,40,5
37,2018,61,5
37,2019,70,8
37,2020,95,3
37,2021,109,5
37,2022,113,6
37,2023,117,4
38,2012,21,0
38,2013,26,0
38,2014,60,4
38,2015,35,2
38,2016,55,4
38,2017,38,4
38,2018,42,2
38,2019,44,3
38,2020,74,2
38,2021,66,0
38,2022,62,0
38,2023,89,8
39,2012,32,2
39,2013,49,5
39,2014,47,0
39,2015,61,6
39,2016,60,4
39,2017,60,7
39,2018,58,9
39,2019,59,7
39,2020,99,5
39,2021,92,13
39,2022,88,6
39,2023,85,4
40,2012,32,2
40,2013,30,2
40,2014,49,2
40,2015,48,0
40,2016,34,0
40,2017,53,0
40,2018,44,4
40,2019,36,1
40,2020,58,1
40,2021,78,0
40,2022,58,0
40,2023,77,2
41,2012,66,8
41,2013,85,3
41,2014,72,0
41,2015,89,2
41,2016,107,2
41,2017,66,4
41,2018,85,0
41,2019,100,3
41,2020,88,9
41,2021,134,1
41,2022,102,5
41,2023,117,4
42,2012,66,11
42,2013,83,0
42,2014,88,2
42,2015,124,4
42,2016,77,9
42,2017,70,2
42,2018,77,2
42,2019,106,9
42,2020,112,8
42,2021,141,9
42,2022,133,7
42,2023,154,13
46,2012,37,2
46,2013,56,3
46,2014,68,6
46,2015,74,6
46,2016,38,2
46,2017,60,2
46,2018,58,2
46,2019,98,1
46,2020,117,2
46,2021,131,5
46,2022,119,5
46,2023,107,1
47,2012,118,3
47,2013,166,7
47,2014,214,11
47,2015,234,10
47,2016,207,5
47,2017,253,19
47,2018,206,2
47,2019,325,7
47,2020,359,6
47,2021,320,13
47,2022,316,10
47,2023,376,10
48,2012,26,2
48,2013,26,0
48,2014,23,0
48,2015,30,4
48,2016,23,0
48,2017,17,2
48,2018,19,0
48,2019,40,0
48,2020,50,0
48,2021,46,0
48,2022,40,1
48,2023,65,1
49,2012,135,5
49,2013,139,8
49,2014,189,9
49,2015,215,17
49,2016,199,5
49,2017,208,12
49,2018,169,0
49,2019,202,5
49,2020,251,9
49,2021,279,6
49,2022,278,6
49,2023,311,10
50,2012,26,0
50,2013,53,3
50,2014,47,0
50,2015,65,0
50,2016,36,0
50,2017,53,2
50,2018,56,0
50,2019,69,4
50,2020,81,2
50,2021,93,1
50,2022,97,5
50,2023,98,5
53,2012,51,2
53,2013,76,7
53,2014,82,4
53,2015,72,4
53,2016,64,7
53,2017,66,7
53,2018,38,7
53,2019,98,8
53,2020,98,2
53,2021,111,8
53,2022,121,7
53,2023,121,5
54,2012,24,0
54,2013,28,2
54,2014,41,0
54,2015,37,0
54,2016,15,0
54,2017,15,0
54,2018,17,0
54,2019,20,0
54,2020,33,0
54,2021,37,1
54,2022,34,1
54,2023,44,1
55,2019,29,1
55,2020,39,0
55,2021,20,1
55,2022,31,1
55,2023,43,0
56,2012,97,3
56,2013,85,3
56,2014,99,7
56,2015,130,0
56,2016,49,2
56,2017,38,4
56,2018,40,0
56,2019,61,0
56,2020,99,2
56,2021,105,2
56,2022,101,0
56,2023,101,8
57,2012,26,2
57,2013,25,2
57,2014,35,4
57,2015,37,2
57,2016,47,0
57,2017,25,0
57,2018,17,0
57,2019,44,3
57,2020,65,1
57,2021,84,1
57,2022,79,1
57,2023,77,2
58,2012,41,0
58,2013,37,0
58,2014,55,2
58,2015,54,6
58,2016,55,2
58,2017,53,2
58,2018,61,4
58,2019,144,3
58,2020,203,8
58,2021,180,8
58,2022,175,3
58,2023,221,4
01A,2012,0,0
01A,2013,0,0
01A,2014,0,0
01A,2015,4,0
01A,2016,0,0
01A,2017,2,0
01A,2018,12,0
01A,2019,21,4
01A,2020,28,1
01A,2021,22,2
01A,2022,27,5
01A,2023,33,0
01C,2012,5,0
01C,2013,16,0
01C,2014,23,0
01C,2015,28,4
01C,2016,34,0
01C,2017,38,0
01C,2018,56,0
01C,2019,34,1
01C,2020,42,0
01C,2021,48,1
01C,2022,30,0
01C,2023,35,4
01D,2012,10,2
01D,2013,9,0
01D,2014,6,0
01D,2015,9,0
01D,2016,4,0
01D,2017,11,2
01D,2018,17,0
01D,2019,13,0
01D,2020,7,0
01D,2021,6,0
01D,2022,10,1
01D,2023,16,2
07A,2012,10,2
07A,2013,11,2
07A,2014,12,0
07A,2015,7,2
07A,2016,15,4
07A,2017,9,2
07A,2018,19,2
07B,2012,157,26
07B,2013,192,20
07B,2014,181,22
07B,2015,158,30
07B,2016,152,25
07B,2017,147,30
07B,2018,125,18
09A,2012,34,2
09A,2013,32,0
09A,2014,43,0
09A,2015,41,4
09A,2016,53,2
09A,2017,42,7
09A,2018,17,0
09B,2012,50,5
09B,2013,63,7
09B,2014,49,7
09B,2015,50,2
09B,2016,49,0
09B,2017,72,9
09B,2018,48,7
11A,2012,28,6
11A,2013,42,3
11A,2014,33,13
11A,2015,39,11
11A,2016,21,9
11A,2017,30,7
11A,2018,29,13
11B,2012,16,2
11B,2013,5,5
11B,2014,23,6
11B,2015,26,0
11B,2016,17,2
11B,2017,11,0
11B,2018,19,0
12A,2012,8,2
12A,2013,23,0
12A,2014,10,0
12A,2015,33,6
12A,2016,9,0
12A,2017,15,0
12A,2018,8,0
12B,2012,50,3
12B,2013,74,0
12B,2014,70,0
12B,2015,102,0
12B,2016,81,0
12B,2017,81,4
12B,2018,46,4
15A,2012,18,0
15A,2013,32,2
15A,2014,39,6
15A,2015,30,0
15A,2016,43,0
15A,2017,43,2
15A,2018,61,2
15B,2012,97,0
15B,2013,120,7
15B,2014,129,2
15B,2015,141,4
15B,2016,139,2
15B,2017,123,4
15B,2018,115,2
16A,2012,21,2
16A,2013,23,0
16A,2014,29,0
16A,2015,22,2
16A,2016,49,0
16A,2017,32,0
16A,2018,36,0
16B,2012,13,0
16B,2013,19,0
16B,2014,21,0
16B,2015,35,2
16B,2016,36,0
16B,2017,55,2
16B,2018,54,4
16C,2012,31,2
16C,2013,19,3
16C,2014,27,0
16C,2015,26,0
16C,2016,13,2
16C,2017,32,11
16C,2018,36,2
18A,2012,41,2
18A,2013,30,0
18A,2014,45,0
18A,2015,52,0
18A,2016,41,4
18A,2017,59,0
18A,2018,58,0
18B,2012,2,0
18B,2013,7,0
18B,2014,8,0
18B,2015,4,0
18B,2016,19,0
18B,2017,21,2
18B,2018,15,0
21A,2012,114,8
21A,2013,122,5
21A,2014,158,4
21A,2015,174,4
21A,2016,152,5
21A,2017,155,5
21A,2018,173,9
21B,2012,49,5
21B,2013,62,2
21B,2014,74,2
21B,2015,139,4
21B,2016,94,2
21B,2017,83,0
21B,2018,121,0
55A,2012,8,0
55A,2013,5,2
55A,2014,8,0
55A,2015,15,0
55A,2016,15,0
55A,2017,11,2
55A,2018,8,0
55B,2012,5,0
55B,2013,4,2
55B,2014,10,2
55B,2015,20,2
55B,2016,11,0
55B,2017,0,0
55B,2018,6,2
Total,2012,3011,276
Total,2013,3488,229
Total,2014,3798,291
Total,2015,4338,295
Total,2016,3792,226
Total,2017,3765,311
Total,2018,3719,243
Total,2019,4527,247
Total,2020,5193,219
Total,2021,5519,204
Total,2022,5262,213
Total,2023,5828,294
